animal_id,section_id,region_name,area_pixels,file_path
M776,s048,RSPd,992880,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s048_RSPd.pkl
M776,s048,RSPv,1569580,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s048_RSPv.pkl
M776,s048,VISl,1514780,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s048_VISl.pkl
M776,s048,VISli,568660,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s048_VISli.pkl
M776,s048,VISp,4400760,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s048_VISp.pkl
M776,s048,VISpm,518800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s048_VISpm.pkl
M776,s049,RSPagl,632120,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s049_RSPagl.pkl
M776,s049,RSPd,947400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s049_RSPd.pkl
M776,s049,RSPv,905780,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s049_RSPv.pkl
M776,s049,VISl,1623840,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s049_VISl.pkl
M776,s049,VISli,703840,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s049_VISli.pkl
M776,s049,VISp,5468920,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s049_VISp.pkl
M776,s049,VISpm,372460,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s049_VISpm.pkl
M776,s049,VISpor,110400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s049_VISpor.pkl
M776,s050,RSPagl,579600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s050_RSPagl.pkl
M776,s050,RSPd,1089720,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s050_RSPd.pkl
M776,s050,RSPv,946500,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s050_RSPv.pkl
M776,s050,VISl,1046000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s050_VISl.pkl
M776,s050,VISli,504000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s050_VISli.pkl
M776,s050,VISp,5059460,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s050_VISp.pkl
M776,s050,VISpm,256800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s050_VISpm.pkl
M776,s050,VISpor,341200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s050_VISpor.pkl
M776,s051,RSPagl,370400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s051_RSPagl.pkl
M776,s051,RSPd,1799200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s051_RSPd.pkl
M776,s051,RSPv,797200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s051_RSPv.pkl
M776,s051,VISl,1125200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s051_VISl.pkl
M776,s051,VISli,660400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s051_VISli.pkl
M776,s051,VISp,3962660,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s051_VISp.pkl
M776,s051,VISpm,77600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s051_VISpm.pkl
M776,s051,VISpor,1774800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s051_VISpor.pkl
M776,s052,RSPagl,844120,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s052_RSPagl.pkl
M776,s052,RSPd,1582200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s052_RSPd.pkl
M776,s052,RSPv,67200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s052_RSPv.pkl
M776,s052,VISl,1171100,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s052_VISl.pkl
M776,s052,VISli,497840,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s052_VISli.pkl
M776,s052,VISp,5528900,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s052_VISp.pkl
M776,s052,VISpm,108400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s052_VISpm.pkl
M776,s052,VISpor,2114700,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s052_VISpor.pkl
M776,s053,RSPagl,680440,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s053_RSPagl.pkl
M776,s053,RSPd,1295260,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s053_RSPd.pkl
M776,s053,VISl,1254920,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s053_VISl.pkl
